figure_id,book_citation,role,raw,script,selection,transformation,clean,plot,raw_sha256,script_sha256,clean_sha256,plot_sha256
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/candidates/humanprogress_2017_archive.html,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,4fe49afb58c05299c652928fa3ebd26e4938a4c6543cb5813d8be7c3fd6a995e,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/raw/alfred_food_labels.json,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,b5c15288225fea31b8031bfb9d0549a5e99bdbbd9c959ff146648603677eb59c,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/raw/alfred_vehicles_labels.json,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,8be18de9893e267c7f3e20ce8118940ba3fb638375cd848c632d2089edbd1150,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/raw/alfred_furnishings_labels.json,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,7e42f1ce6ed79073cb7ae8a6b94c3d02fa49ce06aeee7f79482a00cd4eeeffc1,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/raw/alfred_clothing_labels.json,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,d079b16acc92b0c2ba87bc33a29a83199d3ad7b6a7422a1f045c3359b98fdcd1,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/raw/alfred_housing_labels.json,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,aa39b3d30239b4979fb3069f7313e8f75ac7fb7f7a60696abd5a27e7a2f510f7,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/raw/alfred_energy_labels.json,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,6e603071a16f26a18a374d82bb0aaca1aa007e3c8f31092a403ff773cd0e378c,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",book_period,figures/17-5/data/raw/alfred_income_labels.json,scripts/reconstruct_17_5.py,2016-07-29 observations 1929-2015; archive baseline cross-check,"100 * sum of six expenditure components / income; retain all years, mask 1941-1946 only when plotting; no inflation adjustment or pixel digitization",figures/17-5/data/clean/figure_17_5_book_period.csv,figures/17-5/plots/book_period/figure_17_5_book_period.png,bc193dde8ccef3ad640aeda1557f6364b7e800b11f7373c0df694e9984fe41a9,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,07b9577bb298f944fe0bca54f0b3a30301f0f36512d9f2fe36d8a3484b1e567c,acaffc73176ded8ab89cf42958c61e440c47f8a40dc19dfdbb1e1280607d4841
17-5,"HumanProgress 1937, Mark Perry, BEA",revised_successor,figures/17-5/data/raw/alfred_food_labels.json,scripts/reconstruct_17_5.py,"2026-04-09 expenditure / 2026-05-28 income, 1929-2025; plot 2005-2025 over frozen 2016 book line","same defined basket ratio; dotted 2005-2015 overlap, dashed 2016-2025 with revised 2015 anchor; no forced join",figures/17-5/data/clean/figure_17_5_revised_successor.csv,figures/17-5/plots/extended/figure_17_5_extended.png,b5c15288225fea31b8031bfb9d0549a5e99bdbbd9c959ff146648603677eb59c,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,3646942c02583e4fc73f2ce9db590e8df49e7a07043a129374ede50a3e25e317,ca40c194916d9fd6daa0f041dbbcf3d926a5808e94d1144861d44b308112a96d
17-5,"HumanProgress 1937, Mark Perry, BEA",revised_successor,figures/17-5/data/raw/alfred_vehicles_labels.json,scripts/reconstruct_17_5.py,"2026-04-09 expenditure / 2026-05-28 income, 1929-2025; plot 2005-2025 over frozen 2016 book line","same defined basket ratio; dotted 2005-2015 overlap, dashed 2016-2025 with revised 2015 anchor; no forced join",figures/17-5/data/clean/figure_17_5_revised_successor.csv,figures/17-5/plots/extended/figure_17_5_extended.png,8be18de9893e267c7f3e20ce8118940ba3fb638375cd848c632d2089edbd1150,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,3646942c02583e4fc73f2ce9db590e8df49e7a07043a129374ede50a3e25e317,ca40c194916d9fd6daa0f041dbbcf3d926a5808e94d1144861d44b308112a96d
17-5,"HumanProgress 1937, Mark Perry, BEA",revised_successor,figures/17-5/data/raw/alfred_furnishings_labels.json,scripts/reconstruct_17_5.py,"2026-04-09 expenditure / 2026-05-28 income, 1929-2025; plot 2005-2025 over frozen 2016 book line","same defined basket ratio; dotted 2005-2015 overlap, dashed 2016-2025 with revised 2015 anchor; no forced join",figures/17-5/data/clean/figure_17_5_revised_successor.csv,figures/17-5/plots/extended/figure_17_5_extended.png,7e42f1ce6ed79073cb7ae8a6b94c3d02fa49ce06aeee7f79482a00cd4eeeffc1,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,3646942c02583e4fc73f2ce9db590e8df49e7a07043a129374ede50a3e25e317,ca40c194916d9fd6daa0f041dbbcf3d926a5808e94d1144861d44b308112a96d
17-5,"HumanProgress 1937, Mark Perry, BEA",revised_successor,figures/17-5/data/raw/alfred_clothing_labels.json,scripts/reconstruct_17_5.py,"2026-04-09 expenditure / 2026-05-28 income, 1929-2025; plot 2005-2025 over frozen 2016 book line","same defined basket ratio; dotted 2005-2015 overlap, dashed 2016-2025 with revised 2015 anchor; no forced join",figures/17-5/data/clean/figure_17_5_revised_successor.csv,figures/17-5/plots/extended/figure_17_5_extended.png,d079b16acc92b0c2ba87bc33a29a83199d3ad7b6a7422a1f045c3359b98fdcd1,c4eb984b3bd586c30c768933c616e9ff02b36d29e08000967f04415227a32b65,3646942c02583e4fc73f2ce9db590e8df49e7a07043a129374ede50a3e25e317,ca40c194916d9fd6daa0f041dbbcf3d926a5808e94d1144861d44b308112a96d
