Bureau of Justice Statistics,,,,,,
Filename: ipvav9311at08,,,,,,
"Appendix table 8. Standard errors for table 3: Type of physical attack in violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,
Author: Shannan Catalano,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 11/21/13,,,,,,
 ,,,,,,
"Appendix table 8. Standard errors for table 3: Type of physical attack in violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,
,,Female,,,Male,
,,Intimate,Nonintimate,,Intimate,Nonintimate
Victim was physically attacked,,1.09,0.7,,2.2,0.61
,Offender threatened victim before attacking,1.14,0.67,,2.11,0.6
Type of attack,,,,,,
,Sexual violence,0.59,0.29,,0.4,0.05
,"Shot at, stabbed, or hit with weapon",0.4,0.16,,1.22,0.18
,Hit by object held in hand or thrown,0.48,0.26,,1.78,0.23
,"Hit, slapped, or knocked down",1.13,0.57,,2.26,0.53
,"Grabbed, held, tripped, jumped, or pushed",1.08,0.51,,1.55,0.42
,Other type of attack,0.51,0.19,,1.07,0.18
Average annual violent victimizations,,"56,298","101,917",,"24,782",
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,"125,566"
