Bureau of Justice Statistics,,,
Filename: ipvav9311at04,,,
"Appendix table 4. Standard errors for apendix table 3: Serious intimate partner violence against females, 1993-2011",,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,
Author: Shannan Catalano,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 11/21/13,,,
 ,,,
"Appendix table 4. Standard errors for apendix table 3: Serious intimate partner violence against females, 1993-2011",,,
Year,Total intimate partner violence,Serious violence ,Simple assault
1994,"108,988",1.89,1.94
1995,"95,835",1.56,1.62
1996,"90,032",1.52,1.59
1997,"98,113",1.77,1.82
1998,"101,121",1.95,2.02
1999,"94,193",2.21,2.29
2000,"80,028",2.45,2.53
2001,"74,539",2.5,2.58
2002,"71,124",2.4,2.47
2003,"68,689",2.58,2.62
2004,"71,769",2.71,2.74
2005,"69,359",3,3.07
2006,"75,870",2.85,2.9
2007,"79,727",2.7,2.76
2008,"74,126",2.69,2.76
2009,"81,508",2.62,2.7
2010,"76,309",2.81,2.92
2011,"56,551",2.81,2.88
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,
