Bureau of Justice Statistics,,,,,,,,
Filename: ipvav9311at14,,,,,,,,
"Appendix table 14. Standard errors for Table 5: Physical injury, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,
Author: Shannan Catalano,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 11/21/13,,,,,,,,
 ,,,,,,,,
"Appendix table 14. Standard errors for Table 5: Physical injury, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,
,,,Female,,,Male,,
,,,Intimate,Nonintimate,,Intimate,,Nonintimate
No injury,,,1.14,0.63,,2.28,,0.53
Any injury,,,1.14,0.6,,2.26,,0.49
,Serious injury,,0.73,0.28,,1,,0.21
,,Sexual violence,0.53,0.21,,0.36,,0.04
,,"Gun shot, knife wounds",0.22,0.08,,0.59,,0.11
,,"Internal injuries, unconciousness, broken bones",0.48,0.16,,0.72,,0.18
,"Bruises, cuts, or other minor injuries",,1.13,0.56,,2.24,,0.47
Average annual violent victimizations,,,"56,298","101,917",,"24,782",,"125,566"
~Not applicable.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,
