Bureau of Justice Statistics,,,,,,,,,,,
Filename: ipvav9311t05,,,,,,,,,,,
"Table 5. Physical injury, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,,
 ,,,,,,,,,,,
"Table 5. Physical injury, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,,
,,,Female,,,,,Male,,,
,,,Intimate/a,,Nonintimate/b,,,Intimate/a,,Nonintimate/b,
,Total,,100,%,100,%,,100,%,100,%
No injury,,,50.3,%,76,%,,56.5,%,78.4,%
Any injury,,,49.7,%,24,%,,43.5,%,21.6,%
,Serious injury,,13,,5,,,5.4,,3.9,
,,Sexual violence/c,6.6,,2.8,,,0.7, !,0.2,
,,"Gun shot, knife wounds",1.1,,0.4,,,1.9,,1,
,,"Internal injuries, unconciousness, broken bones",5.3,,1.7,,,2.8, !,2.7,
,"Bruises, cuts, or other injuries",,45.7,,20.9,,,40.7,,19.8,
Average annual violent victimizations ,,,"805,700",,"2,336,830",,,"173,960",,"3,365,420",
"Note: Violent victimization includes rape or sexual assault, robbery, aggravated assault, and simple assault. Percentages for type of injury sum to more than the percentage of victims injured because victims were able to select more than one response. Estimates include missing data ranging from 0.1% to 0.4% of injuries. See appendix table 14 for standard errors. ",,,,,,,,,,,
! Interpret with caution. Estimate based on 10 or fewer sample cases or the coefficient of variation is greater than 50%.,,,,,,,,,,,
"a/Includes former or current spouses, boyfriends, or girlfriends. ",,,,,,,,,,,
"b/Includes relatives, friends, neighbors, acquaintances, and strangers.",,,,,,,,,,,
"c/Sexual violence injuries includes rape, attempted rape, and sexual assault injuries.",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,,,,
