Bureau of Justice Statistics,,,,,,,,,,,
Filename: ipvav9311at15,,,,,,,,,,,
"Appendix table 15. Medical treatment of female victims of intimate partner violence, 1993–2011",,,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,,
 ,,,,,,,,,,,
"Appendix table 15. Medical treatment of female victims of intimate partner violence, 1993–2011",,,,,,,,,,,
,Total intimate ,,,,,,,Type of treatment,,,
Year,partner violence,Any injury,,Not treated,,Treated,,Formal treatment/a,,Informal treatment/b,
1994,"1,766,700",56.9,%,31.8,%,25.1,%,11.6,%,13.5,%
1995,"1,785,590",48.4,,29.2,,19.3,,10.1,,9.2,
1996,"1,676,990",45,,28,,16.9,,7.7,,9.2,
1997,"1,644,100",53,,33.6,,19.3,,9.1,,10.3,
1998,"1,499,130",52.3,,34.3,,18,,8.3,,9.7,
1999,"1,250,570",47.5,,27.8,,19.7,,8,,11.7,
2000,"974,160",48.4,,27.1,,21.3,,6,,15.3,
2001,"882,720",50.7,,30.6,,20.2,,9.5,,10.7,
2002,"889,740",51.4,,29.5,,21.9,,15.6,,6.3,
2003,"852,220",53,,25.8,,27.2,,13.3,,13.8,
2004,"861,380",54.5,,29.1,,25.4,,8.3,,17,
2005,"718,590",52.4,,32.2,,20.2,,10,,10.2,
2006*,"842,410",59.1,,42.2,,16.9,,8.6,,8.3,
2007*,"922,380",57,,43.6,,13.5,,7,,6.5,
2008,"847,700",45.1,,31.5,,13.6,,8.6,,5,
2009,"914,480",42.1,,29.5,,12.6,,7.3,,5.3,
2010,"775,650",43.8,,28.6,,15.2,,9.8,,5.4,
2011,"620,850",42.4,,24,,18.5,,12.2,,6.3,
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape or sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, and girlfriends. See appendix table 16 for standard errors.",,,,,,,,,,,
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information. ",,,,,,,,,,,
"a/Includes treatment at a medical office, clinic or health unit; stadium or park; and hospital setting.",,,,,,,,,,,
"b/Includes treatment at scene, home, neighbor’s or friend’s house; and other informal settings. ",,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,,,,,
