Bureau of Justice Statistics,
Filename: ipvav9311f06,
"Figure 6. Medical treatment of female victims of intimate partner violence, 1994-2011",
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",
Author: Shannan Catalano,
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of release: 11/21/13,
,
"Figure 6. Medical treatment of female victims of intimate partner violence, 1994-2011",
,Treated
'94,25.1
'95,19.3
'96,16.9
'97,19.3
'98,18
'99,19.7
'00,21.3
'01,20.2
'02,21.9
'03,27.2
'04,25.4
'05,20.2
'06*,16.9
'07*,13.5
'08,13.6
'09,12.6
'10,15.2
'11,18.5
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape or sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, and girlfriends. See appendix table 15 for counts and percentages and appendix table 16 for standard errors.  ",
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information. ",
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",
