Bureau of Justice Statistics,,,,,,
Filename: ipvav9311at17,,,,,,
"Appendix table 17. Standard errors for table 6: Medical treatment, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,
Author: Shannan Catalano,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 11/21/13,,,,,,
 ,,,,,,
"Appendix table 17. Standard errors for table 6: Medical treatment, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,
,,Female,,,Male,
,,Intimate,Nonintimate,,Intimate,Nonintimate
,Total violent victimizations resulting in injury,1.14,0.59,,2.26,0.49
No treatment,,1.04,0.47,,2.13,0.37
Any treatment,,0.85,0.4,,1.38,0.34
,"At scene, home, neighbor’s or friend's house",0.59,0.24,,1.05,0.2
,"Medical office, clinic, or health unit",0.25,0.17,,0.18,0.11
,Hospital setting,0.59,0.26,,0.91,0.24
,Another location,0.06,0.05,,0.14,0.04
Average annual violent victimizations,,"56,298","101,917",,"24,782","125,566"
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,
