Bureau of Justice Statistics,,,,,,,,,,
Filename: ipvav9311t06,,,,,,,,,,
"Table 6. Medical treatment, by victim's sex and victim-offender relationship, 2002–2011",,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,
 ,,,,,,,,,,
"Table 6. Medical treatment, by victim's sex and victim-offender relationship, 2002–2011",,,,,,,,,,
,,Female ,,,,,Male ,,,
,,Intimate/a,,Nonintimate/b,,,Intimate/a,,Nonintimate/b ,
,Total violent victimizations resulting in injury,49.7,%,23.8,%,,43.5,%,21.5,%
No treatment,,31.6,%,14,%,,32.7,%,12,%
Any treatment,,18.2,%,9.8,%,,10.8,%,9.6,%
,"At scene, home, neighbor’s or friend's house",8.3,,3.5,,,6.1,,3.4,
,"Medical office, clinic, or health unit",1.5,,1.9,,,0.2, !,1.1,
,Hospital setting,8.2,,4.2,,,4.4,,4.9,
,Another location,0.1, !,0.2,,,0.1, !,0.2,
Average annual violent victimizations,,"805,700",,"2,336,830",,,"173,960",,"3,365,420",
"Note: Violent victimization includes rape or sexual assault, robbery, aggravated assault, and simple assault. See appendix table 17 for standard errors.",,,,,,,,,,
 ! Interpret with caution. Estimate based on 10 or fewer sample cases or the coefficient of variation is greater than 50%.,,,,,,,,,,
"a/Includes former or current spouses, boyfriends, and girlfriends. ",,,,,,,,,,
"b/Includes relatives, friends, neighbors, acquaintances, and strangers.",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,,,
