Bureau of Justice Statistics,,,,,,,,,,
Filename: ipvav9311t01,,,,,,,,,,
"Table 1. Violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,
 ,,,,,,,,,,
"Table 1. Violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,,,,,
,,Female,,,,,Male,,,
,,Intimate/a,,Nonintimate/b,,,Intimate/a,,Nonintimate/b,
,Total,100,%,100,%,,100,%,100,%
Serious violent crime,,34.6,%,33.7,%,,39,%,32.1,%
,Rape/sexual assault,9.6,,8.3,,,1.2,,0.9,
,Robbery,9.3,,8.8,,,16,,11.2,
,Aggravated assault,15.7,,16.6,,,21.9,,20,
Simple assault,,65.4,%,66.3,%,,61,%,67.9,%
Average annual violent victimizations,,"805,700",,"2,336,830",,,"173,960",,"3,365,420",
Note: See appendix table 5 for standard errors. ,,,,,,,,,,
"a/Includes former or current spouses, boyfriends, and girlfriends. ",,,,,,,,,,
"b/Includes relatives, friends, neighbors, acquaintances, and strangers.",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,,,
