Bureau of Justice Statistics,,,,,,,,,,,,,
Filename: ipvav9311t02,,,,,,,,,,,,,
"Table 2. Homicide, by victim’s sex and victim-offender relationship, 1993–2010",,,,,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,,,,
 ,,,,,,,,,,,,,
"Table 2. Homicide, by victim’s sex and victim-offender relationship, 1993–2010",,,,,,,,,,,,,
,Female,,,,,,,Male,,,,,
,,Percent of homicides,,,,,,,Percent of homicides,,,,
,Number of homicide incidents/a,Total,,Intimate/b,Nonintimate/c,Unknown,,Number of homicide incidents/a,Total,,Intimate/b,Nonintimate/c,Unknown
1993,"5,194",100,%,29.8,41.3,28.9,,"18,272",100,%,3.7,54.3,42
1994,"4,668",100,%,29.7,40.7,29.5,,"17,610",100,%,3.8,54,42.2
1995,"4,599",100,%,28.1,39.7,32.1,,"15,873",100,%,3.3,55.2,41.4
1996,"4,154",100,%,30.7,40.8,28.6,,"14,613",100,%,3.3,56.6,40.1
1997,"3,795",100,%,30.9,40.1,29,,"13,522",100,%,3.1,54.1,42.7
1998,"3,908",100,%,32.8,38.6,28.6,,"12,297",100,%,3.9,54.3,41.8
1999,"3,461",100,%,33.5,39.7,26.8,,"11,221",100,%,3.4,52.2,44.4
2000,"3,514",100,%,34.7,38.1,27.2,,"11,336",100,%,3.5,49,47.4
2001,"3,482",100,%,33.3,38.4,28.3,,"11,751",100,%,3.1,47.1,49.8
2002,"3,455",100,%,33.3,38.9,27.8,,"11,884",100,%,2.9,48.7,48.4
2003,"3,371",100,%,34.1,38.3,27.5,,"12,184",100,%,2.8,47.4,49.8
2004,"3,277",100,%,34.8,39.1,26.1,,"12,053",100,%,3,47.4,49.6
2005,"3,293",100,%,35.3,38.8,25.9,,"12,561",100,%,2.7,46.2,51.1
2006,"3,337",100,%,33.9,38.3,27.8,,"13,048",100,%,2.6,47.5,49.9
2007,"3,369",100,%,35.1,38.1,26.7,,"12,865",100,%,2.8,45.9,51.2
2008,"3,282",100,%,36.4,38.5,25,,"12,296",100,%,2.7,47.5,49.8
2009,"3,185",100,%,36.6,38.2,25.2,,"11,314",100,%,3,47.9,49.1
2010,"3,032",100,%,39.3,36.8,23.8,,"10,878",100,%,2.8,47.5,49.7
"a/Estimates based on characteristics of the first victim only. The FBI’s Supplementary Homicide Reports provide information on the victim-offender relationship with the first recorded victim in the data. For the small percentage of incidents with multiple victims (approximately 5% per year), the victim-offender relationship for victims beyond the first is recorded as unknown. ",,,,,,,,,,,,,
"b/Intimate includes former or current spouses, boyfriends, and girlfriends.",,,,,,,,,,,,,
"c/Nonintimate includes nonintimate family members, friends, acquaintances, and strangers.",,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, based on data from FBI, Supplementary Homicide Reports, 1993–2010.",,,,,,,,,,,,,
