Bureau of Justice Statistics,,,,,,,,,,
Filename: ipvav9311t04,,,,,,,,,,
"Table 4. Presence of weapons, by victim's sex and victim-offender relationship, 2002–2011",,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,
 ,,,,,,,,,,
"Table 4. Presence of weapons, by victim's sex and victim-offender relationship, 2002–2011",,,,,,,,,,
,,Female ,,,,,Male ,,,
,,Intimate/a,,Nonintimate/b,,,Intimate/a ,,Nonintimate/b,
,Total,100,%,100,%,,100,%,100,%
No weapon,,78,%,72.7,%,,71.5,%,67.6,%
Any weapon,,17.6,%,20,%,,27,%,24.4,%
,Firearm,4.7,,6.6,,,0.8, !,8.5,
,Knife,6.2,,5.6,,,11.1,,6.6,
,Other weapon/c,6.7,,7.7,,,15.1,,9.3,
Did not know if offender  had weapon,,4.3,%,7.3,%,,1.6,% !,8,%
Average annual  violent victimizations,,"805,700",,"2,336,830",,,"173,960",,"3,365,420",
"Note: Violent victimization includes rape or sexual assault, robbery, aggravated assault, and simple assault. See appendix table 11 for standard errors. ",,,,,,,,,,
! Interpret with caution. Estimate based on 10 or fewer sample cases or the coefficient of variation is greater than 50%.,,,,,,,,,,
"a/Includes former or current spouses, boyfriends, and girlfriends. ",,,,,,,,,,
"b/Includes relatives, friends, neighbors, acquaintances, and strangers.",,,,,,,,,,
"c/Includes broken bottles, cookware, household objects, and unknown weapon types.",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,,,
