Bureau of Justice Statistics,,,
Filename: ipvav9311at13,,,
"Appendix table 13. Standard errors for appendix table 12: Physical injury in intimate partner violence against females, 1993–2011",,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,
Author: Shannan Catalano,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,
Date of release: 11/21/13,,,
 ,,,
"Appendix table 13. Standard errors for appendix table 12: Physical injury in intimate partner violence against females, 1993–2011",,,
,,,
,Total intimate ,Percent,
Year,partner violence,Not injured ,Any injury
1994,"108,988",1.96,1.99
1995,"95,835",1.73,1.73
1996,"90,032",1.74,1.72
1997,"98,113",1.91,1.92
1998,"101,121",2.13,2.14
1999,"94,193",2.4,2.39
2000,"80,028",2.67,2.66
2001,"74,539",2.72,2.72
2002,"71,124",2.59,2.59
2003,"68,689",2.64,2.65
2004,"71,769",2.74,2.76
2005,"69,359",3.21,3.22
2006,"75,870",2.93,2.97
2007,"79,727",2.8,2.83
2008,"74,126",2.88,2.85
2009,"81,508",2.92,2.89
2010,"76,309",3.21,3.18
2011,"56,551",2.97,2.94
~ Not applicable.,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,
