Bureau of Justice Statistics,,,,,,,
Filename: ipvav9311at03,,,,,,,
"Appendix table 3. Serious intimate partner violence against females, 1993–2011",,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,
Author: Shannan Catalano,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 11/21/13,,,,,,,
,,,,,,,
"Appendix table 3. Serious intimate partner violence against females, 1993–2011",,,,,,,
,,,Percent,,,,
Year,Total intimate partner violence,,Total,,Serious violence ,,Simple assault
1994,"1,766,700",,100,%,36.3,,63.7
1995,"1,785,590",,100,%,30.2,,69.8
1996,"1,676,990",,100,%,28.1,,71.9
1997,"1,644,100",,100,%,32.7,,67.3
1998,"1,499,130",,100,%,32.1,,67.9
1999,"1,250,570",,100,%,33,,67
2000,"974,160",,100,%,32.4,,67.6
2001,"882,720",,100,%,32.3,,67.7
2002,"889,740",,100,%,33.2,,66.8
2003,"852,220",,100,%,40.1,,59.9
2004,"861,380",,100,%,42,,58
2005,"718,590",,100,%,33.5,,66.5
2006*,"842,410",,100,%,35.7,,64.3
2007*,"922,380",,100,%,36,,64
2008,"847,700",,100,%,34.3,,65.7
2009,"914,480",,100,%,28.8,,71.2
2010,"775,650",,100,%,27.5,,72.5
2011,"620,850",,100,%,34.8,,65.2
"Note: Estimates based on 2-year rolling averages beginning in 1993. Serious violent crime includes rape or sexual assault, robbery, and aggravated assault. Intimates include current or former spouses, boyfriends, and girlfriends. See appendix table 4 for standard errors.",,,,,,,
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information. ",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,,
