Bureau of Justice Statistics,
Filename: ipvav9311f05,
"Figure 5. Physical injury in intimate partner violence against females, ",
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",
Author: Shannan Catalano,
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of release: 11/21/13,
,
"Figure 5. Physical injury in intimate partner violence against females, ",
1994–2011,
,Any injury
'94,56.5
'95,48
'96,45
'97,52.9
'98,52.2
'99,47.4
'00,48.2
'01,50.6
'02,51.3
'03,53
'04,54.5
'05,52.4
'06*,59.1
'07*,56.9
'08,44.8
'09,42
'10,43.8
'11,42.4
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape or sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, and girlfriends. Estimates include missing data on injuries ranging from 0.1% to 0.4%. See appendix table 12 for counts and percentages and appendix table 13 for standard errors. ",
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information.",
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",
