Bureau of Justice Statistics,,,,,,
Filename: ipvav9311at05,,,,,,
"Appendix table 5. Standard errors for table 1: Violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,
Author: Shannan Catalano,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 11/21/13,,,,,,
 ,,,,,,
"Appendix table 5. Standard errors for table 1: Violent victimization, by victim’s sex and victim-offender relationship, 2002–2011",,,,,,
,,Female,,,Male,
,,Intimate,Nonintimate,,Intimate,Nonintimate
Serious violent crime,,1.07,0.67,,2.22,0.57
,Rape/sexual assault,0.64,0.37,,0.47,0.1
,Robbery,0.63,0.38,,1.64,0.36
,Aggravated assault,0.8,0.51,,1.87,0.48
Simple assault,,1.1,0.7,,2.24,0.59
Average annual violent victimizations,,"56,298","101,917",,"24,782","125,566"
~ Not applicable.,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,
