Bureau of Justice Statistics,,,,,,
Filename: ipvav9311at16,,,,,,
"Appendix table 16. Standard errors for appendix table 15: Medical treatment of female victims of intimate partner violence, 1993–2011",,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,
Author: Shannan Catalano,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 11/21/13,,,,,,
 ,,,,,,
"Appendix table 16. Standard errors for appendix table 15: Medical treatment of female victims of intimate partner violence, 1993–2011",,,,,,
,,,Percent treated,,,
,Total intimate ,,,,Type of treatment,
Year,partner violence,Any injury,Not treated,Treated,Formal treatment,Informal treatment
1994,"108,988",1.99,1.82,1.68,1.2,1.29
1995,"95,835",1.73,1.54,1.31,0.98,0.93
1996,"90,032",1.72,1.52,1.24,0.86,0.94
1997,"98,113",1.92,1.78,1.46,1.03,1.09
1998,"101,121",2.14,1.99,1.56,1.09,1.17
1999,"94,193",2.39,2.09,1.82,1.19,1.43
2000,"80,028",2.66,2.31,2.1,1.16,1.82
2001,"74,539",2.73,2.46,2.11,1.49,1.58
2002,"71,124",2.59,2.31,2.07,1.8,1.16
2003,"68,689",2.65,2.26,2.3,1.71,1.74
2004,"71,769",2.76,2.46,2.35,1.44,2
2005,"69,359",3.22,2.97,2.52,1.84,1.87
2006,"75,870",2.97,2.95,2.17,1.6,1.57
2007,"79,727",2.83,2.81,1.85,1.36,1.3
2008,"74,126",2.86,2.63,1.89,1.52,1.17
2009,"81,508",2.89,2.64,1.87,1.44,1.23
2010,"76,309",3.18,2.85,2.21,1.81,1.34
2011,"56,551",2.94,2.49,2.24,1.87,1.36
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,
