Bureau of Justice Statistics,
Filename: ipvav9311f04,
"Figure 4. Presence of weapons in intimate partner violence against females, 1994–2011",
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",
Author: Shannan Catalano,
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of release: 11/21/13,
,
"Figure 4. Presence of weapons in intimate partner violence against females, 1994–2011",
,Yes - weapon present
'94,17.9
'95,13.8
'96,16.1
'97,18.2
'98,15.2
'99,15.5
'00,12.7
'01,13.4
'02,18.2
'03,25.5
'04,25
'05,18
'06*,13.4
'07*,13.2
'08,17.5
'09,14.4
'10,13.4
'11,17.7
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape or sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, and girlfriends. The weapon category also includes victimizations in which the respondent knew a weapon was present but did not know the type of weapon. See appendix table 9 for counts and percentages and appendix table 10 for standard errors. ",
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information. ",
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",
