Bureau of Justice Statistics,,,,,,,,,,
Filename: ipvav9311at11,,,,,,,,,,
"Appendix table 11. Standard errors for table 4. Presence of weapons, by victim's sex and victim-offender relationship, 2002–2011",,,,,,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,,,,,
Author: Shannan Catalano,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,
Date of release: 11/21/13,,,,,,,,,,
 ,,,,,,,,,,
"Appendix table 11. Standard errors for table 4. Presence of weapons, by victim's sex and victim-offender relationship, 2002–2011",,,,,,,,,,
,,Female,,,,,Male,,,
,,Intimate,,Nonintimate,,,Intimate,,Nonintimate,
No weapon,,0.96,,0.66,,,2.08,,0.6,
Any weapon,,0.84,,0.55,,,2.01,,0.52,
,Firearm,0.45,,0.33,,,0.39,,0.32,
,Knife,0.51,,0.3,,,1.4,,0.28,
,Other weapon,0.54,,0.35,,,1.6,,0.33,
Did not know if offender,,,,,,,,,,
    had weapon,,0.43,%,0.34,%,,0.54,%,0.31,%
Average annual violent,,,,,,,,,,
   victimizations,,"56,298",,"101,917",,,"24,782",,"125,566",
~ Not applicable.,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2002–2011.",,,,,,,,,,
