Bureau of Justice Statistics,,,,,,
Filename: ipvav9311at12,,,,,,
"Appendix table 12. Physical injury in intimate partner violence against females, 1993–2011",,,,,,
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",,,,,,
Author: Shannan Catalano,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,
Date of release: 11/21/13,,,,,,
 ,,,,,,
"Appendix table 12. Physical injury in intimate partner violence against females, 1993–2011",,,,,,
,Total intimate ,Percent,,,,
Year,partner violence,Total,,Not injured ,,Any injury
1994,"1,766,700",100,%,43.1,,56.5
1995,"1,785,590",100,%,51.6,,48
1996,"1,676,990",100,%,55,,45
1997,"1,644,100",100,%,47,,52.9
1998,"1,499,130",100,%,47.7,,52.2
1999,"1,250,570",100,%,52.5,,47.4
2000,"974,160",100,%,51.6,,48.2
2001,"882,720",100,%,49.3,,50.6
2002,"889,740",100,%,48.6,,51.3
2003,"852,220",100,%,47,,53
2004,"861,380",100,%,45.5,,54.5
2005,"718,590",100,%,47.6,,52.4
2006*,"842,410",100,%,40.9,,59.1
2007*,"922,380",100,%,43,,56.9
2008,"847,700",100,%,54.9,,44.8
2009,"914,480",100,%,57.9,,42
2010,"775,650",100,%,56.2,,43.8
2011,"620,850",100,%,57.6,,42.4
"Note: Estimates based on 2-year rolling averages beginning in 1993. Intimate partner violence includes rape or sexual assault, robbery, aggravated assault, and simple assault committed by current or former spouses, boyfriends, and girlfriends. Estimates include missing data on injuries ranging from 0.1% to 0.4%. See appendix table 13 for standard errors.",,,,,,
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information.",,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",,,,,,
