Bureau of Justice Statistics,
Filename: ipvav9311f02,
"Figure 2. Serious intimate partner violence against females, 1994–2011",
"Report title: Intimate Partner Victimization: Attributes of the Victimization, 1993-2011   NCJ 243300",
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2011",
Author: Shannan Catalano,
Refer questions to: askbjs@usdoj.gov 202-307-0765,
Date of release: 11/21/13,
,
"Figure 2. Serious intimate partner violence against females, 1994–2011",
,Serious violent
'94,36.3
'95,30.2
'96,28.1
'97,32.7
'98,32.1
'99,33
'00,32.4
'01,32.3
'02,33.2
'03,40.1
'04,42
'05,33.5
'06*,35.7
'07*,36
'08,34.3
'09,28.8
'10,27.5
'11,34.8
"Note:  Estimates based on 2-year rolling averages beginning in 1993. Serious violent crime includes rape or sexual assault, robbery, and aggravated assault. Intimates include current or former spouses, boyfriends, and girlfriends. See appendix table 3 for counts and percentages, and appendix table 4 for standard errors.  ",
"*Due to methodological changes, use caution when comparing 2006 NCVS criminal victimization estimates to other years. See Criminal Victimization, 2007, NCJ 224390, BJS website, December 2008, for more information. ",
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2011.",
