decade,value,year,series,unit,source
1820s,-0.82,1820,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1830s,-0.73,1830,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1840s,-0.68,1840,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1850s,-0.59,1850,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1860s,-0.57,1860,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1870s,-0.55,1870,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1880s,-0.41,1880,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1890s,-0.34,1890,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1900s,-0.36,1900,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1910s,-0.3,1910,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1920s,-0.26,1920,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1930s,-0.26,1930,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1940s,-0.22,1940,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1950s,0.04,1950,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1960s,0.1,1960,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1970s,0.31,1970,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1980s,0.48,1980,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
1990s,0.7,1990,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
2000s,0.92,2000,Well-Being Composite,standardized country-decade scale; population-weighted World,"Rijpma 2014 Figure13.2 June23,2014 spreadsheet"
,0.076,1870,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.083,1880,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.095,1890,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.107,1900,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.122,1913,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.157,1929,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.185,1938,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.21,1950,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.263,1960,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.307,1970,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.334,1980,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.367,1990,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.416,2000,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
,0.46,2007,Historical Index of Human Development,0-1 index,Prados de la Escosura 2015 Table1 PanelA
