Entity,Code,Year,"Homicide rate per 100,000 population - Eisner and WHO Mortality Database"
Belgium,BEL,1375,16.4
Belgium,BEL,1425,20.5
Belgium,BEL,1475,22.5
Belgium,BEL,1525,13.2
Belgium,BEL,1575,8.8
Belgium,BEL,1625,14.6
Belgium,BEL,1675,5.7
Belgium,BEL,1725,4.3
Belgium,BEL,1775,2.4
Belgium,BEL,1825,0.8
Belgium,BEL,1862,1.7
Belgium,BEL,1887,1.8
Belgium,BEL,1912,2.2
Belgium,BEL,1937,1.6
Belgium,BEL,1954,0.66897976
Belgium,BEL,1955,0.6878277
Belgium,BEL,1956,0.70596933
Belgium,BEL,1957,0.6452259
Belgium,BEL,1958,0.59650713
Belgium,BEL,1959,0.6371036
Belgium,BEL,1960,0.63606256
Belgium,BEL,1961,0.6982402
Belgium,BEL,1962,0.5640953
Belgium,BEL,1963,0.64634275
Belgium,BEL,1964,0.5764981
Belgium,BEL,1965,0.71972907
Belgium,BEL,1966,0.73624533
Belgium,BEL,1967,0.75340605
Belgium,BEL,1968,0.82378334
Belgium,BEL,1969,0.8426353
Belgium,BEL,1970,1.0998474
Belgium,BEL,1971,1.0131084
Belgium,BEL,1972,1.2254019
Belgium,BEL,1973,1.0880946
Belgium,BEL,1974,1.0351967
Belgium,BEL,1975,0.9080984
Belgium,BEL,1976,0.9268407
Belgium,BEL,1977,0.8951823
Belgium,BEL,1978,1.047014
Belgium,BEL,1979,1.6043378
Belgium,BEL,1980,1.5017605
Belgium,BEL,1981,1.3910607
Belgium,BEL,1982,1.4811358
Belgium,BEL,1983,1.785352
Belgium,BEL,1984,1.6644677
Belgium,BEL,1985,2.0287473
Belgium,BEL,1986,2.1288028
Belgium,BEL,1987,1.5805151
Belgium,BEL,1988,1.5552884
Belgium,BEL,1989,1.3584633
Belgium,BEL,1990,1.4447098
Belgium,BEL,1991,1.4193612
Belgium,BEL,1992,1.6724405
Belgium,BEL,1993,1.9932961
Belgium,BEL,1994,1.8189727
Belgium,BEL,1995,1.6671928
Belgium,BEL,1996,1.9888473
Belgium,BEL,1997,1.7403743
Belgium,BEL,1998,2.0190125
Belgium,BEL,1999,2.4739842
Belgium,BEL,2000,1.6875991
Belgium,BEL,2001,1.8665113
Belgium,BEL,2002,1.9162307
Belgium,BEL,2003,1.3878003
Belgium,BEL,2004,1.708067
Belgium,BEL,2005,1.5555488
Belgium,BEL,2006,1.3841541
Belgium,BEL,2007,1.4775496
Belgium,BEL,2008,1.1951478
Belgium,BEL,2009,1.2411438
Belgium,BEL,2010,1.0793452
Belgium,BEL,2011,1.3271958
Belgium,BEL,2012,1.1717148
Belgium,BEL,2013,0.98403746
Belgium,BEL,2014,1.0153837
Belgium,BEL,2015,1.0562911
Belgium,BEL,2016,1.1011025
Belgium,BEL,2017,0.98460084
Belgium,BEL,2018,0.96262664
Belgium,BEL,2019,0.82687855
Belgium,BEL,2020,0.7193236
Belgium,BEL,2021,0.65595233
Corsica and Sardinia,,1675,28.1
Corsica and Sardinia,,1725,42.2
Corsica and Sardinia,,1775,49.1
Corsica and Sardinia,,1825,22.8
