source_entity,display_entity,Year,Daily caloric supply (OWID based on UN FAO & historical sources)
United States,United States,1991,3522.0
United States,United States,1992,3559.0
United States,United States,1993,3605.0
United States,United States,1994,3665.0
United States,United States,1995,3580.0
United States,United States,1996,3587.0
United States,United States,1997,3648.0
United States,United States,1998,3658.0
United States,United States,1999,3673.0
United States,United States,2000,3755.0
United States,United States,2001,3707.0
United States,United States,2002,3783.0
United States,United States,2003,3777.0
United States,United States,2004,3809.0
United States,United States,2005,3828.0
United States,United States,2006,3783.0
United States,United States,2007,3757.0
United States,United States,2008,3700.0
United States,United States,2009,3645.0
United States,United States,2010,3650.0
United States,United States,2011,3649.0
United States,United States,2012,3687.0
United States,United States,2013,3682.0
United States,United States,2014,3717.0
United States,United States,2015,3735.0
United States,United States,2016,3760.0
United States,United States,2017,3778.0
United States,United States,2018,3782.0
World,World,1961,1889.579603
World,World,1962,1930.68168
World,World,1963,1938.911108
World,World,1964,1972.548812
World,World,1965,1998.284814
World,World,1966,2016.906394
World,World,1967,2019.423464
World,World,1968,2022.461135
World,World,1969,2033.157071
World,World,1970,2076.225165
World,World,1971,2058.366371
World,World,1972,2052.607986
World,World,1973,2088.851811
World,World,1974,2080.505941
World,World,1975,2099.22148
World,World,1976,2088.622455
World,World,1977,2121.170097
World,World,1978,2179.747888
World,World,1979,2179.296962
World,World,1980,2190.883741
World,World,1981,2207.611517
World,World,1982,2238.433422
World,World,1983,2282.431009
World,World,1984,2295.699611
World,World,1985,2300.382652
World,World,1986,2303.771582
World,World,1987,2321.836643
World,World,1988,2339.145062
World,World,1989,2355.67257
World,World,1990,2340.711711
World,World,1991,2343.92477
World,World,1992,2524.743483
World,World,1993,2552.506551
World,World,1994,2575.106541
World,World,1995,2597.858156
World,World,1996,2607.18679
World,World,1997,2619.48743
World,World,1998,2633.599233
World,World,1999,2646.597159
World,World,2000,2661.95348
World,World,2001,2658.356832
World,World,2002,2660.206527
World,World,2003,2665.750017
World,World,2004,2676.515047
World,World,2005,2689.320853
World,World,2006,2709.427996
World,World,2007,2735.537142
World,World,2008,2752.081391
World,World,2009,2750.590309
World,World,2010,2773.667234
World,World,2011,2791.528285
World,World,2012,2807.326354
World,World,2013,2816.384714
World,World,2014,2828.740077
World,World,2015,2833.905188
World,World,2016,2837.510529
World,World,2017,2852.080992
World,World,2018,2861.2215
