Entity,Code,Year,public_social_expenditure_pct_gdp
Australia,AUS,1880,0.0
Australia,AUS,1890,0.0
Australia,AUS,1900,0.0
Australia,AUS,1910,1.12
Australia,AUS,1920,1.66
Australia,AUS,1930,2.11
Australia,AUS,1960,5.917997
Australia,AUS,1961,6.3205285
Australia,AUS,1962,6.272406
Australia,AUS,1963,6.1865797
Australia,AUS,1964,5.9645305
Australia,AUS,1965,6.047579
Australia,AUS,1966,5.9095325
Australia,AUS,1967,5.6411896
Australia,AUS,1968,5.664654
Australia,AUS,1969,5.8370614
Australia,AUS,1970,5.902064
Australia,AUS,1971,6.198489
Australia,AUS,1972,6.625018
Australia,AUS,1973,6.9982
Australia,AUS,1974,8.3813095
Australia,AUS,1975,10.138167
Australia,AUS,1976,10.575734
Australia,AUS,1977,10.899897
Australia,AUS,1978,10.616133
Australia,AUS,1979,10.275355
Australia,AUS,1980,10.247
Australia,AUS,1981,10.12
Australia,AUS,1982,11.094
Australia,AUS,1983,11.596
Australia,AUS,1984,11.966
Australia,AUS,1985,12.055
Australia,AUS,1986,11.891
Australia,AUS,1987,12.146
Australia,AUS,1988,11.442
Australia,AUS,1989,11.58
Australia,AUS,1990,13.115
Australia,AUS,1991,14.278
Australia,AUS,1992,15.257
Australia,AUS,1993,15.517
Australia,AUS,1994,15.232
Australia,AUS,1995,16.869
Australia,AUS,1996,16.986
Australia,AUS,1997,16.753
Australia,AUS,1998,17.563
Australia,AUS,1999,17.2
Australia,AUS,2000,18.184
Australia,AUS,2001,17.488
Australia,AUS,2002,17.301
Australia,AUS,2003,17.484
Australia,AUS,2004,17.181
Australia,AUS,2005,16.641
Australia,AUS,2006,15.679
Australia,AUS,2007,15.844
Australia,AUS,2008,17.037
Australia,AUS,2009,16.833
Australia,AUS,2010,16.544
Australia,AUS,2011,17.008
Australia,AUS,2012,17.301
Australia,AUS,2013,17.264
Australia,AUS,2014,17.868
Australia,AUS,2015,18.199
Australia,AUS,2016,17.483
Australia,AUS,2017,17.072
Australia,AUS,2018,16.626
Australia,AUS,2019,20.43
Australia,AUS,2020,22.635
Australia,AUS,2021,18.061
Australia,AUS,2022,17.067
Canada,CAN,1880,0.0
Canada,CAN,1890,0.0
Canada,CAN,1900,0.0
Canada,CAN,1910,0.0
Canada,CAN,1920,0.06
Canada,CAN,1930,0.31
Canada,CAN,1960,8.173254
Canada,CAN,1961,8.453966
Canada,CAN,1962,8.414475
Canada,CAN,1963,8.347013
Canada,CAN,1964,8.252643
Canada,CAN,1965,7.992057
Canada,CAN,1966,8.130821
Canada,CAN,1967,8.889842
Canada,CAN,1968,9.433317
Canada,CAN,1969,9.787334
Canada,CAN,1970,10.556071
Canada,CAN,1971,11.446135
Canada,CAN,1972,12.212042
Canada,CAN,1973,12.226215
Canada,CAN,1974,12.619465
Canada,CAN,1975,13.770022
Canada,CAN,1976,13.465986
Canada,CAN,1977,13.688413
Canada,CAN,1978,13.485691
Canada,CAN,1979,12.989418
Canada,CAN,1980,13.397
Canada,CAN,1981,13.871
Canada,CAN,1982,16.17
Canada,CAN,1983,16.336
Canada,CAN,1984,16.039
Canada,CAN,1985,16.525
Canada,CAN,1986,16.478
Canada,CAN,1987,16.211
Canada,CAN,1988,16.026
Canada,CAN,1989,16.396
Canada,CAN,1990,17.705
Canada,CAN,1991,20.113
Canada,CAN,1992,20.778
Canada,CAN,1993,20.735
Canada,CAN,1994,19.64
Canada,CAN,1995,18.778
Canada,CAN,1996,18.003
Canada,CAN,1997,17.497
Canada,CAN,1998,17.512
Canada,CAN,1999,16.445
Canada,CAN,2000,16.383
Canada,CAN,2001,16.825
Canada,CAN,2002,16.845
Canada,CAN,2003,16.91
Canada,CAN,2004,16.935
Canada,CAN,2005,16.742
Canada,CAN,2006,17.102
Canada,CAN,2007,17.027
Canada,CAN,2008,17.135
Canada,CAN,2009,18.943
Canada,CAN,2010,18.425
Canada,CAN,2011,17.9
Canada,CAN,2012,18.065
Canada,CAN,2013,17.932
Canada,CAN,2014,17.848
Canada,CAN,2015,18.892
Canada,CAN,2016,19.188
Canada,CAN,2017,19.092
Canada,CAN,2018,19.118
Canada,CAN,2019,19.846
Canada,CAN,2020,25.894
Canada,CAN,2021,21.858
Canada,CAN,2022,19.331
France,FRA,1880,0.46
France,FRA,1890,0.54
France,FRA,1900,0.57
France,FRA,1910,0.81
France,FRA,1920,0.64
France,FRA,1930,1.05
France,FRA,1975,16.549002
France,FRA,1976,18.180525
France,FRA,1977,18.68448
France,FRA,1978,19.549232
France,FRA,1979,19.821808
France,FRA,1980,20.333
France,FRA,1981,15.779
France,FRA,1982,16.299
France,FRA,1983,16.412
France,FRA,1984,16.554
France,FRA,1985,25.613
France,FRA,1986,19.351
France,FRA,1987,19.263
France,FRA,1988,19.047
France,FRA,1989,18.104
France,FRA,1990,24.62
France,FRA,1991,25.239
France,FRA,1992,25.991
France,FRA,1993,27.347
France,FRA,1994,27.373
France,FRA,1995,28.593
France,FRA,1996,28.899
France,FRA,1997,28.714
France,FRA,1998,28.975
France,FRA,1999,28.948
France,FRA,2000,27.812
France,FRA,2001,27.851
France,FRA,2002,28.594
France,FRA,2003,28.95
France,FRA,2004,29.01
France,FRA,2005,28.893
France,FRA,2006,28.426
France,FRA,2007,28.288
France,FRA,2008,28.518
France,FRA,2009,30.952
France,FRA,2010,30.97
France,FRA,2011,30.645
France,FRA,2012,31.185
France,FRA,2013,31.592
France,FRA,2014,31.892
France,FRA,2015,31.705
France,FRA,2016,31.842
France,FRA,2017,31.511
France,FRA,2018,31.052
France,FRA,2019,30.759
France,FRA,2020,34.693
France,FRA,2021,32.718
France,FRA,2022,31.363
France,FRA,2023,30.637
France,FRA,2024,30.649
Germany,DEU,1880,0.5
Germany,DEU,1890,0.53
Germany,DEU,1900,0.59
Germany,DEU,1930,4.82
Germany,DEU,1960,15.369004
Germany,DEU,1961,15.304998
Germany,DEU,1962,15.388236
Germany,DEU,1963,15.828846
Germany,DEU,1964,15.354482
Germany,DEU,1965,16.084034
Germany,DEU,1966,16.293688
Germany,DEU,1967,17.689854
Germany,DEU,1968,17.47867
Germany,DEU,1969,16.950384
Germany,DEU,1970,16.568996
Germany,DEU,1971,17.315866
Germany,DEU,1972,17.964119
Germany,DEU,1973,18.296705
Germany,DEU,1974,19.96038
Germany,DEU,1975,23.057457
Germany,DEU,1976,22.730425
Germany,DEU,1977,22.577394
Germany,DEU,1978,22.024511
Germany,DEU,1979,21.587797
Germany,DEU,1980,21.788
Germany,DEU,1981,22.446
Germany,DEU,1982,22.433
Germany,DEU,1983,22.14
Germany,DEU,1984,21.881
Germany,DEU,1985,22.228
Germany,DEU,1986,22.247
Germany,DEU,1987,22.715
Germany,DEU,1988,22.705
Germany,DEU,1989,21.643
Germany,DEU,1990,21.354
Germany,DEU,1991,22.476
Germany,DEU,1992,24.188
Germany,DEU,1993,24.934
Germany,DEU,1994,25.102
Germany,DEU,1995,25.649
Germany,DEU,1996,26.216
Germany,DEU,1997,25.691
Germany,DEU,1998,25.593
Germany,DEU,1999,25.599
Germany,DEU,2000,25.506
Germany,DEU,2001,25.492
Germany,DEU,2002,26.141
Germany,DEU,2003,26.545
Germany,DEU,2004,25.937
Germany,DEU,2005,26.22
Germany,DEU,2006,24.927
Germany,DEU,2007,24.044
Germany,DEU,2008,24.193
Germany,DEU,2009,27.427
Germany,DEU,2010,26.685
Germany,DEU,2011,25.385
Germany,DEU,2012,25.285
Germany,DEU,2013,25.492
Germany,DEU,2014,25.43
Germany,DEU,2015,25.721
Germany,DEU,2016,25.922
Germany,DEU,2017,25.938
Germany,DEU,2018,26.041
Germany,DEU,2019,26.409
Germany,DEU,2020,29.471
Germany,DEU,2021,28.867
Germany,DEU,2022,27.718
Germany,DEU,2023,27.293
Germany,DEU,2024,27.854
Greece,GRC,1960,6.183009
Greece,GRC,1961,6.246149
Greece,GRC,1962,6.3812037
Greece,GRC,1963,6.677631
Greece,GRC,1964,6.9184923
Greece,GRC,1965,7.3860254
Greece,GRC,1966,7.724125
Greece,GRC,1967,8.277393
Greece,GRC,1968,8.552504
Greece,GRC,1969,8.203541
Greece,GRC,1970,8.16058
Greece,GRC,1971,8.205326
Greece,GRC,1972,7.845308
Greece,GRC,1973,7.1085877
Greece,GRC,1974,7.557742
Greece,GRC,1975,7.8218164
Greece,GRC,1976,8.180926
Greece,GRC,1977,8.990005
Greece,GRC,1978,9.629905
Greece,GRC,1979,9.433667
Greece,GRC,1980,9.995
Greece,GRC,1981,12.037
Greece,GRC,1982,14.137
Greece,GRC,1983,14.688
Greece,GRC,1984,15.002
Greece,GRC,1985,15.585
Greece,GRC,1986,15.427
Greece,GRC,1987,15.393
Greece,GRC,1988,14.129
Greece,GRC,1989,14.979
Greece,GRC,1990,15.943
Greece,GRC,1991,15.392
Greece,GRC,1992,15.606
Greece,GRC,1993,16.462
Greece,GRC,1994,16.488
Greece,GRC,1995,16.834
Greece,GRC,1996,17.412
Greece,GRC,1997,17.448
Greece,GRC,1998,18.063
Greece,GRC,1999,18.688
Greece,GRC,2000,18.432
Greece,GRC,2001,19.238
Greece,GRC,2002,18.886
Greece,GRC,2003,18.68
Greece,GRC,2004,18.776
Greece,GRC,2005,19.982
Greece,GRC,2006,19.701
Greece,GRC,2007,20.434
Greece,GRC,2008,21.865
Greece,GRC,2009,24.239
Greece,GRC,2010,25.077
Greece,GRC,2011,26.442
Greece,GRC,2012,27.792
Greece,GRC,2013,25.717
Greece,GRC,2014,25.68
Greece,GRC,2015,25.864
Greece,GRC,2016,26.053
Greece,GRC,2017,25.122
Greece,GRC,2018,24.881
Greece,GRC,2019,24.83
Greece,GRC,2020,28.584
Greece,GRC,2021,26.37
Greece,GRC,2022,24.447
