year,fitted_loneliness,series_kind,source_url
1978,37.793000000000006,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1979,37.710999999999984,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1980,37.62899999999999,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1981,37.547,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1982,37.465,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1983,37.38300000000001,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1984,37.30099999999999,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1985,37.218999999999994,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1986,37.137,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1987,37.05500000000001,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1988,36.972999999999985,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1989,36.89099999999999,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1990,36.809,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1991,36.727000000000004,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1992,36.64500000000001,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1993,36.56299999999999,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1994,36.480999999999995,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1995,36.399,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1996,36.31700000000001,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1997,36.234999999999985,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1998,36.15299999999999,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
1999,36.071,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2000,35.989000000000004,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2001,35.90700000000001,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2002,35.82499999999999,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2003,35.742999999999995,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2004,35.661,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2005,35.57900000000001,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2006,35.496999999999986,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2007,35.41499999999999,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2008,35.333,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
2009,35.251000000000005,published fitted line; not annual survey observations,https://eprints.qut.edu.au/124698/1/Clark_decling%20loneliness.pdf
