figure_id,book_citation,role,raw,script,selection,transformation,clean,plot,raw_sha256,script_sha256,clean_sha256,plot_sha256
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",book_period,figures/17-2/data/raw/costa_1998_table_2a1.csv,scripts/reconstruct_17_2.py,Costa gainful-employment 1880-1990; Short 2000; BLS all-races Men 65+ 2010,"Numeric table extraction, no fitted shifts; line joins decadal observations. Costa PDF hash and extraction script documented in provenance.",figures/17-2/data/clean/figure_17_2_book_period.csv,figures/17-2/plots/book_period/figure_17_2_book_period.png,b9890d7c1a4d3f3a090b19ed62497a06c478d5684406a6e5dd7445c7fcd2d934,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,376771b31dd403e847013a10a4cc544644b06145dfd35e0b1c06fd3bcbb735df,1d33a122a7cad9caf529c7f8a84c9450efdd972451eed80b3954da894d5698f7
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",book_period,figures/17-2/data/raw/short_2002_page.html,scripts/reconstruct_17_2.py,Costa gainful-employment 1880-1990; Short 2000; BLS all-races Men 65+ 2010,"Numeric table extraction, no fitted shifts; line joins decadal observations. Costa PDF hash and extraction script documented in provenance.",figures/17-2/data/clean/figure_17_2_book_period.csv,figures/17-2/plots/book_period/figure_17_2_book_period.png,9b4cae18cc68a901736067867bc5888ca60fa12888a8da6c96e1df16d62d03cf,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,376771b31dd403e847013a10a4cc544644b06145dfd35e0b1c06fd3bcbb735df,1d33a122a7cad9caf529c7f8a84c9450efdd972451eed80b3954da894d5698f7
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",book_period,figures/17-2/data/raw/bls_2010_men65.csv,scripts/reconstruct_17_2.py,Costa gainful-employment 1880-1990; Short 2000; BLS all-races Men 65+ 2010,"Numeric table extraction, no fitted shifts; line joins decadal observations. Costa PDF hash and extraction script documented in provenance.",figures/17-2/data/clean/figure_17_2_book_period.csv,figures/17-2/plots/book_period/figure_17_2_book_period.png,99a0b13f986ebac9d63fef8163c4a63088e81b867b0e7c620f74b8ccd100a0b3,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,376771b31dd403e847013a10a4cc544644b06145dfd35e0b1c06fd3bcbb735df,1d33a122a7cad9caf529c7f8a84c9450efdd972451eed80b3954da894d5698f7
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",book_period,figures/17-2/data/raw/bls_2010_table3.pdf,scripts/reconstruct_17_2.py,Costa gainful-employment 1880-1990; Short 2000; BLS all-races Men 65+ 2010,"Numeric table extraction, no fitted shifts; line joins decadal observations. Costa PDF hash and extraction script documented in provenance.",figures/17-2/data/clean/figure_17_2_book_period.csv,figures/17-2/plots/book_period/figure_17_2_book_period.png,1f7219486fbe5ab45270666b844ea8a0d41cff8283c0962cb0220c6bbce8c860,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,376771b31dd403e847013a10a4cc544644b06145dfd35e0b1c06fd3bcbb735df,1d33a122a7cad9caf529c7f8a84c9450efdd972451eed80b3954da894d5698f7
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",extended,figures/17-2/data/raw/costa_1998_table_2a1.csv,scripts/reconstruct_17_2.py,Book observations plus BLS May 2025 Men annual table 2010-2024,Keep duplicate 2010 anchor explicitly by segment; verify anchor equality; dashed after 2010. Historical definition discontinuity disclosed.,figures/17-2/data/clean/figure_17_2_extended.csv,figures/17-2/plots/extended/figure_17_2_extended.png,b9890d7c1a4d3f3a090b19ed62497a06c478d5684406a6e5dd7445c7fcd2d934,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,d76f02dd41cf9133f0d5fe70f48e2630e11170fb0878399903ae3ef0590be62c,5468709b37d8808cd3447cdb3877606e52e4e4374e9b4ad8ce84615c68a2aa46
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",extended,figures/17-2/data/raw/short_2002_page.html,scripts/reconstruct_17_2.py,Book observations plus BLS May 2025 Men annual table 2010-2024,Keep duplicate 2010 anchor explicitly by segment; verify anchor equality; dashed after 2010. Historical definition discontinuity disclosed.,figures/17-2/data/clean/figure_17_2_extended.csv,figures/17-2/plots/extended/figure_17_2_extended.png,9b4cae18cc68a901736067867bc5888ca60fa12888a8da6c96e1df16d62d03cf,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,d76f02dd41cf9133f0d5fe70f48e2630e11170fb0878399903ae3ef0590be62c,5468709b37d8808cd3447cdb3877606e52e4e4374e9b4ad8ce84615c68a2aa46
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",extended,figures/17-2/data/raw/bls_2010_men65.csv,scripts/reconstruct_17_2.py,Book observations plus BLS May 2025 Men annual table 2010-2024,Keep duplicate 2010 anchor explicitly by segment; verify anchor equality; dashed after 2010. Historical definition discontinuity disclosed.,figures/17-2/data/clean/figure_17_2_extended.csv,figures/17-2/plots/extended/figure_17_2_extended.png,99a0b13f986ebac9d63fef8163c4a63088e81b867b0e7c620f74b8ccd100a0b3,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,d76f02dd41cf9133f0d5fe70f48e2630e11170fb0878399903ae3ef0590be62c,5468709b37d8808cd3447cdb3877606e52e4e4374e9b4ad8ce84615c68a2aa46
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",extended,figures/17-2/data/raw/bls_2025_table.html,scripts/reconstruct_17_2.py,Book observations plus BLS May 2025 Men annual table 2010-2024,Keep duplicate 2010 anchor explicitly by segment; verify anchor equality; dashed after 2010. Historical definition discontinuity disclosed.,figures/17-2/data/clean/figure_17_2_extended.csv,figures/17-2/plots/extended/figure_17_2_extended.png,321313377fd078caa0eb25282ffc434d0cae69ffbc32970a92d347cdfcd031e3,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,d76f02dd41cf9133f0d5fe70f48e2630e11170fb0878399903ae3ef0590be62c,5468709b37d8808cd3447cdb3877606e52e4e4374e9b4ad8ce84615c68a2aa46
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",diagnostic,figures/17-2/data/raw/costa_1998_table_2a1.csv,scripts/reconstruct_17_2.py,"Overlapping decades for gainful, current-definition Census and BLS CPS","Year join, preserve missing values; no backfill or harmonization",figures/17-2/data/clean/figure_17_2_definitions.csv,figures/17-2/plots/diagnostics/definitions.png,b9890d7c1a4d3f3a090b19ed62497a06c478d5684406a6e5dd7445c7fcd2d934,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,728f606d28b6237747a296e3ed83d17644effa08271dadcefc9825e7d0f948ac,f17558a43927551f5db7cfc4d49b2609da5495dc2a7742435689d67b053e2865
17-2,"Housel 2013, based on data from the Bureau of Labor Statistics, and Costa 1998.",diagnostic,figures/17-2/data/raw/bls_2025_table.html,scripts/reconstruct_17_2.py,"Overlapping decades for gainful, current-definition Census and BLS CPS","Year join, preserve missing values; no backfill or harmonization",figures/17-2/data/clean/figure_17_2_definitions.csv,figures/17-2/plots/diagnostics/definitions.png,321313377fd078caa0eb25282ffc434d0cae69ffbc32970a92d347cdfcd031e3,ba37d5bed73f5d37de5b6fdd6b93b568d1c996cd80c3e9fc88ba24dba6c012c0,728f606d28b6237747a296e3ed83d17644effa08271dadcefc9825e7d0f948ac,f17558a43927551f5db7cfc4d49b2609da5495dc2a7742435689d67b053e2865
