year,variable,report_pct,source_pdf_page
1972,very_happy_pct,29.7,7
1973,very_happy_pct,36.8,7
1974,very_happy_pct,38.3,7
1975,very_happy_pct,33.4,7
1976,very_happy_pct,34.8,7
1977,very_happy_pct,35.7,7
1978,very_happy_pct,35.5,7
1980,very_happy_pct,35.3,7
1982,very_happy_pct,34.8,7
1983,very_happy_pct,31.7,7
1984,very_happy_pct,36.3,7
1985,very_happy_pct,29.6,7
1986,very_happy_pct,33.2,7
1987,very_happy_pct,33.5,7
1988,very_happy_pct,36.1,7
1989,very_happy_pct,34.5,7
1990,very_happy_pct,35.7,7
1991,very_happy_pct,32.5,7
1993,very_happy_pct,33.4,7
1994,very_happy_pct,30.5,7
1996,very_happy_pct,32.1,7
1998,very_happy_pct,33.3,7
2000,very_happy_pct,33.9,7
2002,very_happy_pct,32.9,7
2004,very_happy_pct,33.6,7
2006,very_happy_pct,32.4,7
2008,very_happy_pct,31.7,7
2010,very_happy_pct,28.8,7
2012,very_happy_pct,32.9,7
2014,very_happy_pct,32.5,7
1973,exciting_pct,46.2,11
1974,exciting_pct,43.5,11
1976,exciting_pct,45.1,11
1977,exciting_pct,44.4,11
1980,exciting_pct,46.6,11
1982,exciting_pct,45.5,11
1984,exciting_pct,47.3,11
1985,exciting_pct,47.6,11
1987,exciting_pct,45.7,11
1988,exciting_pct,46.4,11
1989,exciting_pct,45.0,11
1990,exciting_pct,45.1,11
1991,exciting_pct,44.8,11
1993,exciting_pct,47.3,11
1994,exciting_pct,48.2,11
1996,exciting_pct,50.9,11
1998,exciting_pct,45.2,11
2000,exciting_pct,46.6,11
2002,exciting_pct,52.3,11
2004,exciting_pct,49.6,11
2006,exciting_pct,51.2,11
2008,exciting_pct,47.6,11
2010,exciting_pct,52.1,11
2012,exciting_pct,52.7,11
2014,exciting_pct,51.4,11
