Entity,Year,maternal_mortality_ratio_gapdata010,gapdata010_source_component,maternal_mortality_ratio_owid_current,owid_current_source_component,absolute_difference_mmr,audit_caveat
Sweden,1751,1046.2799730547076,Gapminder GD010 gapdata010.xls recovered source component,1046.28,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,2.694529234759102e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1752,1050.2276010999426,Gapminder GD010 gapdata010.xls recovered source component,1050.2277,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,9.890005730994744e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1753,1070.6401766004415,Gapminder GD010 gapdata010.xls recovered source component,1070.6401,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,7.660044138901867e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1754,1097.5305562484411,Gapminder GD010 gapdata010.xls recovered source component,1097.5305,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,5.624844106932869e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1755,1019.8834418923551,Gapminder GD010 gapdata010.xls recovered source component,1019.8834,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,4.189235505691613e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1756,1022.9162680482169,Gapminder GD010 gapdata010.xls recovered source component,1022.91626,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,8.048216955103271e-06,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1757,1094.4999351407446,Gapminder GD010 gapdata010.xls recovered source component,1094.4999,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,3.514074455779337e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1758,1205.026682733689,Gapminder GD010 gapdata010.xls recovered source component,1205.0267,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,1.7266310806007823e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1759,1073.3090319967598,Gapminder GD010 gapdata010.xls recovered source component,1073.3091,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,6.800324013056525e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1760,1098.4987184181618,Gapminder GD010 gapdata010.xls recovered source component,1098.4988,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,8.15818382307043e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
Sweden,1761,1119.95722179312,Gapminder GD010 gapdata010.xls recovered source component,1119.9573,OWID current successor/equivalent fill; not verified book-era Roser 2016p/World Bank 2015 value,7.820688006177079e-05,OWID current values are used for audit/successor fill only; they do not verify the unrecovered Roser 2016p/World Bank 2015 book-era vintage.
