year,gini_index,gini_points,series,source,notes
1820,0.16,16,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1850,0.23,23,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1870,0.32,32,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1890,0.38,38,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1910,0.44,44,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1929,0.49,49,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1950,0.55,55,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1960,0.54,54,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1970,0.56,56,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1980,0.56,56,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
1990,0.56,56,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
2000,0.54,54,International inequality (unweighted/between-country),"OECD/IISH How Was Life? 2014, Chapter 11, Table 11.4",Recovered source table for Pinker's unweighted line; population-weighted Milanovic 2012/2013 line not recovered as inspectable data.
