year,population,role
1780,2780369.0,historical_census_endpoint
1790,3929214.0,historical_census_endpoint
1800,5308483.0,historical_census_endpoint
1810,7239881.0,historical_census_endpoint
1820,9638453.0,historical_census_endpoint
1830,12866020.0,historical_census_endpoint
1840,17069453.0,historical_census_endpoint
1850,23191876.0,historical_census_endpoint
1860,31443321.0,historical_census_endpoint
1870,39818449.0,historical_census_endpoint
1880,50189209.0,historical_census_endpoint
1890,62979766.0,historical_census_endpoint
1900,76212168.0,historical_census_endpoint
1910,92228496.0,historical_census_endpoint
1920,106021537.0,historical_census_endpoint
1930,123202624.0,historical_census_endpoint
1940,132164569.0,historical_census_endpoint
1950,151325798.0,historical_census_endpoint
1960,179323175.0,historical_census_endpoint
1970,203302031.0,historical_census_endpoint
1980,226542199.0,historical_census_endpoint
1990,248718302.0,historical_census_endpoint
2000,281424603.0,historical_census_endpoint
2010,308745538.0,historical_census_endpoint
