year,sex,activity,hours_per_day,source_path,population
2015,total,Household activities,1.84,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,men,Household activities,1.43,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,women,Household activities,2.23,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,total,Housework,0.57,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,men,Housework,0.26,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,women,Housework,0.86,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,total,Food preparation and cleanup,0.60,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,men,Food preparation and cleanup,0.35,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2015,women,Food preparation and cleanup,0.83,figures/17-6/data/raw/bls_a1_2015.pdf,civilian noninstitutional population 15+
2016,total,Household activities,1.82,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,men,Household activities,1.38,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,women,Household activities,2.24,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,total,Housework,0.57,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,men,Housework,0.26,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,women,Housework,0.87,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,total,Food preparation and cleanup,0.59,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,men,Food preparation and cleanup,0.35,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2016,women,Food preparation and cleanup,0.82,figures/17-6/data/raw/bls_a1_2016.pdf,civilian noninstitutional population 15+
2017,total,Household activities,1.81,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,men,Household activities,1.41,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,women,Household activities,2.19,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,total,Housework,0.55,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,men,Housework,0.23,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,women,Housework,0.85,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,total,Food preparation and cleanup,0.60,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,men,Food preparation and cleanup,0.36,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2017,women,Food preparation and cleanup,0.83,figures/17-6/data/raw/bls_a1_2017.pdf,civilian noninstitutional population 15+
2018,total,Household activities,1.78,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,men,Household activities,1.36,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,women,Household activities,2.17,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,total,Housework,0.55,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,men,Housework,0.24,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,women,Housework,0.83,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,total,Food preparation and cleanup,0.59,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,men,Food preparation and cleanup,0.37,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2018,women,Food preparation and cleanup,0.80,figures/17-6/data/raw/bls_a1_2018.pdf,civilian noninstitutional population 15+
2019,total,Household activities,1.78,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2019,men,Household activities,1.39,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2019,women,Household activities,2.16,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2019,total,Housework,0.53,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2019,men,Housework,0.27,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2019,women,Housework,0.78,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2019,total,Food preparation and cleanup,0.60,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
2019,men,Food preparation and cleanup,0.39,figures/17-6/data/raw/bls_a1_2019.pdf,civilian noninstitutional population 15+
