year,frequency_share,frequency_percent,corpus,period,fit_slope_log10_percent_per_year,fit_intercept
2014,3.366928761158505e-05,0.003366928761158505,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2015,3.760229288584549e-05,0.003760229288584549,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2016,4.19947236955021e-05,0.00419947236955021,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2017,4.690024684439964e-05,0.004690024684439964,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2018,5.2378798108422476e-05,0.0052378798108422475,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2019,5.8497314531946826e-05,0.005849731453194683,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2020,6.533055226594198e-05,0.006533055226594198,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2021,7.296199994004977e-05,0.007296199994004977,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2022,8.148489872826639e-05,0.00814848987282664,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2023,9.100338157138354e-05,0.009100338157138354,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2024,0.00010163374547527063,0.010163374547527063,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2025,0.0001135058724299123,0.01135058724299123,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2026,0.00012676481631005462,0.012676481631005461,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2027,0.00014157257514623228,0.014157257514623229,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2028,0.0001581100704197936,0.01581100704197936,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2029,0.00017657935756505442,0.01765793575650544,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2030,0.00019720609468645153,0.019720609468645154,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2031,0.0002202422996535932,0.02202422996535932,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2032,0.0002459694292604296,0.02459694292604296,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2033,0.00027470181806972635,0.027470181806972634,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2034,0.0003067905189588243,0.03067905189588243,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2035,0.00034262759229039595,0.0342627592290396,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2036,0.00038265089611348046,0.038265089611348044,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2037,0.00042734943592153497,0.0427349435921535,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2038,0.0004772693393308751,0.04772693393308751,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2039,0.0005330205286784408,0.05330205286784408,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2040,0.0005952841730645508,0.059528417306455084,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2041,0.0006648210108900647,0.06648210108900647,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2042,0.0007424806445726642,0.07424806445726642,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2043,0.0008292119210056051,0.08292119210056051,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2044,0.0009260745245871704,0.09260745245871704,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2045,0.0010342519244649845,0.10342519244649845,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2046,0.0011550658341847857,0.11550658341847858,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2047,0.0012899923604117222,0.12899923604117222,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2048,0.0014406800380300999,0.14406800380301,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2049,0.001608969971974068,0.1608969971974068,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2050,0.0017969183318830339,0.1796918331883034,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2051,0.002006821474421806,0.20068214744218058,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2052,0.0022412440002100935,0.22412440002100933,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2053,0.002503050088162421,0.2503050088162421,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2054,0.002795438490080777,0.2795438490080777,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2055,0.003121981613065515,0.3121981613065515,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2056,0.0034866691672539108,0.3486669167253911,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2057,0.003893956912174668,0.3893956912174668,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2058,0.004348821097303914,0.4348821097303914,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2059,0.004856819261976284,0.48568192619762834,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2060,0.005424158137507339,0.5424158137507339,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2061,0.006057769481155092,0.6057769481155092,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2062,0.0067653947684640815,0.6765394768464081,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2063,0.00755567977876135,0.7555679778761349,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2064,0.008438280229454176,0.8438280229454175,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2065,0.00942397974977078,0.942397974977078,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2066,0.010524821635347792,1.0524821635347792,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2067,0.011754255993448976,1.1754255993448977,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2068,0.013127304076632516,1.3127304076632516,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2069,0.014660741812703035,1.4660741812703035,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2070,0.016373304773319684,1.6373304773319686,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2071,0.01828591708556778,1.8285917085567782,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2072,0.02042194708334775,2.042194708334775,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2073,0.022807492822124756,2.2807492822124757,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2074,0.02547170094547123,2.547170094547123,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2075,0.028447122799317756,2.8447122799317754,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2076,0.03177011214491811,3.177011214491811,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2077,0.035481269329806525,3.548126932980652,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2078,0.03962593734361885,3.9625937343618847,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2079,0.04425475581961149,4.425475581961149,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2080,0.049424279750665816,4.942427975066582,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2081,0.05519767047928363,5.519767047928363,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2082,0.061645467404075525,6.164546740407553,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2083,0.06884644983148677,6.884644983148677,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2084,0.07688859950287631,7.688859950287631,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2085,0.08587017555710974,8.587017555710974,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2086,0.09590091506261611,9.590091506261611,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2087,0.10710337378698455,10.710337378698455,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2088,0.11961442358568465,11.961442358568465,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2089,0.1335869247050251,13.358692470502508,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2090,0.14919159343155655,14.919159343155656,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2091,0.1666190879069589,16.66190879069589,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2092,0.1860823375928551,18.60823375928551,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2093,0.20781914484705993,20.781914484705993,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2094,0.23209509039735418,23.20950903973542,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2095,0.25920677821187915,25.920677821187915,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2096,0.28948545941214887,28.94854594121489,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2097,0.32330107950557585,32.33010795055758,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2098,0.36106679838679157,36.106679838679156,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2099,0.4032440383331145,40.32440383331145,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2100,0.45034812167084787,45.03481216708479,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2101,0.5029545669932989,50.29545669932988,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2102,0.561706120857996,56.1706120857996,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2103,0.6273206108764723,62.73206108764723,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2104,0.700599716145706,70.0599716145706,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2105,0.7824387621788129,78.2438762178813,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2106,0.8738376600092563,87.38376600092563,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2107,0.9759131231230423,97.59131231230424,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2108,1.0899123114855371,108.99123114855372,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2109,1.2172280693656963,121.72280693656963,American English 2009/v1 (corpus=5),book_candidate_ngram_fit_projection,0.04798040032796124,-99.10529233300707
2008,6.84783681929871e-05,0.006847836819298711,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2009,7.528797209116525e-05,0.007528797209116525,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2010,8.277473443329482e-05,0.008277473443329483,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2011,9.100599299189384e-05,0.009100599299189384,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2012,0.00010005578172062721,0.010005578172062721,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2013,0.00011000549663380433,0.011000549663380432,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2014,0.00012094462790205335,0.012094462790205335,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2015,0.00013297156474879865,0.013297156474879866,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2016,0.00014619448038703472,0.014619448038703473,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2017,0.00016073230495565916,0.016073230495565916,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2018,0.00017671579520625342,0.01767157952062534,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2019,0.00019428871056128015,0.019428871056128016,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2020,0.00021360910612153985,0.021360910612153984,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2021,0.00023485075425240206,0.023485075425240205,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2022,0.0002582047075349867,0.02582047075349867,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2023,0.0002838810171398388,0.028388101713983878,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2024,0.0003121106220785191,0.03121106220785191,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2025,0.00034314742632563866,0.034314742632563865,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2026,0.00037727058249330156,0.037727058249330155,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2027,0.00041478700259801556,0.041478700259801556,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2028,0.0004560341185024849,0.04560341185024849,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2029,0.0005013829168602947,0.05013829168602947,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2030,0.0005512412758607389,0.05512412758607389,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2031,0.0006060576337850073,0.06060576337850073,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2032,0.0006663250223698545,0.06663250223698546,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2033,0.0007325855012556004,0.07325855012556004,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2034,0.0008054350334033012,0.08054350334033013,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2035,0.0008855288453313733,0.08855288453313732,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2036,0.000973587320383252,0.0973587320383252,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2037,0.0010704024780314966,0.10704024780314966,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2038,0.0011768450974945965,0.11768450974945965,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2039,0.0012938725497385422,0.12938725497385423,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2040,0.0014225374083054318,0.14225374083054318,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2041,0.0015639969164175046,0.15639969164175047,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2042,0.0017195233955059172,0.17195233955059172,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2043,0.0018905156887808103,0.18905156887808103,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2044,0.002078511742769761,0.2078511742769761,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2045,0.0022852024399849786,0.22852024399849785,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2046,0.002512446807134509,0.2512446807134509,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2047,0.002762288735663032,0.2762288735663032,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2048,0.0030369753650121246,0.30369753650121245,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2049,0.003338977293941966,0.3338977293941966,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2050,0.0036710108017012203,0.36710108017012205,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2051,0.004036062278907401,0.4036062278907401,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2052,0.004437415087874339,0.4437415087874339,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2053,0.0048786790939770305,0.4878679093977031,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2054,0.00536382313366366,0.536382313366366,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2055,0.0058972107111421,0.58972107111421,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2056,0.006483639244803758,0.6483639244803758,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2057,0.007128383216379617,0.7128383216379617,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2058,0.00783724161091887,0.7837241610918869,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2059,0.00861659007427964,0.8616590074279641,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2060,0.009473438257248269,0.9473438257248269,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
2061,0.010415492862052518,1.0415492862052518,XKCD labeled-point visual calibration,xkcd_visual_calibration_projection,0.04117219665778599,-84.83821748607323
